"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"Pacific/Easter","-06","-06","-05","-05","-06:00:00","+01:00:00","2;0;8","+21:00:00","2;0;5","+23:00:00"
"Pacific/Efate","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Enderbury","+13","+13","","","+13:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Fakaofo","+13","+13","","","+13:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Fiji","+12","+12","+13","+13","+12:00:00","+01:00:00","1;0;11","+03:00:00","2;0;1","+02:00:00"
"Pacific/Funafuti","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Galapagos","-06","-06","","","-06:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Gambier","-09","-09","","","-09:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Guadalcanal","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Guam","ChST","ChST","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Honolulu","HST","HST","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Johnston","HST","HST","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kiritimati","+14","+14","","","+14:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kosrae","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Kwajalein","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Majuro","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Marquesas","-0930","-0930","","","-09:30:00","+00:00:00","","","","+00:00:00"
"Pacific/Midway","SST","SST","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Nauru","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Niue","-11","-11","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Norfolk","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Noumea","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Pago_Pago","SST","SST","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Palau","+09","+09","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Pitcairn","-08","-08","","","-08:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Pohnpei","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Ponape","+11","+11","","","+11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Port_Moresby","+10","+10","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Rarotonga","-0930","-0930","","","-09:30:00","+00:00:00","","","","+00:00:00"
"Pacific/Saipan","ChST","ChST","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Samoa","SST","SST","","","-11:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Tahiti","-10","-10","","","-10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Tarawa","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Tongatapu","+14","+14","","","+14:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Truk","+10","+10","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Wake","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Wallis","+12","+12","","","+12:00:00","+00:00:00","","","","+00:00:00"
"Pacific/Yap","+10","+10","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Poland","CET","CET","CEST","CEST","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Portugal","WET","WET","WEST","WEST","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"PRC","CST","CST","","","+08:00:00","+00:00:00","","","","+00:00:00"
"PST8PDT","PST","PST","PDT","PDT","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"ROC","CST","CST","","","+08:00:00","+00:00:00","","","","+00:00:00"
"ROK","KDT","KDT","","","+10:00:00","+00:00:00","","","","+00:00:00"
"Singapore","+08","+08","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Turkey","+03","+03","","","+03:00:00","+00:00:00","","","","+00:00:00"
"UCT","UCT","UCT","","","+00:00:00","+00:00:00","","","","+00:00:00"
"Universal","UTC","UTC","","","+00:00:00","+00:00:00","","","","+00:00:00"
"US/Alaska","AKST","AKST","AKDT","AKDT","-09:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Aleutian","HST","HST","HDT","HDT","-10:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Arizona","MWT","MWT","","","-06:00:00","+00:00:00","","","","+00:00:00"
"US/Central","CST","CST","CDT","CDT","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Eastern","EST","EST","EDT","EDT","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/East-Indiana","EST","EST","EDT","EDT","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Hawaii","HST","HST","","","-10:00:00","+00:00:00","","","","+00:00:00"
"US/Indiana-Starke","CST","CST","CDT","CDT","-06:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Michigan","EST","EST","EDT","EDT","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Mountain","MST","MST","MDT","MDT","-07:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Pacific","PST","PST","PDT","PDT","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Pacific-New","PST","PST","PDT","PDT","-08:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"US/Samoa","SST","SST","","","-11:00:00","+00:00:00","","","","+00:00:00"
"UTC","UTC","UTC","","","+00:00:00","+00:00:00","","","","+00:00:00"
"WET","WET","WET","WEST","WEST","+00:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+02:00:00"
"W-SU","MSK","MSK","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Zulu","UTC","UTC","","","+00:00:00","+00:00:00","","","","+00:00:00"
